| No | タイトル                                                                                                                                    | 文献名                                                                                                                                     | 概要                                                                                                                                                                                                | 文献URL候補                                                                                                                                     | コード                                                                                                                             | 発表ページ                                                                                                                                    |
| 20 | Membership Inference Attack on Tabular Data                                                                                             | Membership Inference Attack on Tabular Data                                                                                             | 表形式データに対するmembership inference attackを扱う発表。DP保証のない合成データ生成器や不適切な設定では、ある個人が訓練データに含まれていたかを推測されるリスクがある。公開preprintは現時点で未確認。                                                                            | 公開preprint未確認（TPDP掲載・PETS 2027投稿言及のみ確認）                                                                                         | 公開コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
| 21 | Differentially Private Multimodal In-Context Learning                                                                                   | Differentially Private Multimodal In-Context Learning                                                                                   | 医療画像・個人写真などの機微なマルチモーダル入力に対し、DPでmany-shot multimodal in-context learningを可能にする研究。合成データそのものではないが、DP synthetic examplesや安全なfew-shot利用と近接する。                                                          | [https://arxiv.org/abs/2603.04894](https://arxiv.org/abs/2603.04894)                                                                        | 公開コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
| 22 | ACTG-ARL: Differentially Private Conditional Text Generation with RL-Boosted Control                                                    | ACTG-ARL: Differentially Private Conditional Text Generation with RL-Boosted Control                                                    | 条件付きDP合成テキスト生成の研究。特徴学習と条件付きテキスト生成を分離し、表形式属性をDP合成したうえでconditional generatorに渡す。Anchored RLにより条件制御性を改善する。                                                                                           | [https://arxiv.org/abs/2510.18232](https://arxiv.org/abs/2510.18232)                                                                        | [https://github.com/actg-arl/ACTG-ARL](https://github.com/actg-arl/ACTG-ARL)                                                    | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
| 23 | Blameless Users in a Clean Room: Defining Copyright Protection for Generative Models                                                    | Blameless Users in a Clean Room: Defining Copyright Protection for Generative Models                                                    | 生成モデル出力の著作権保護を、clean-room copy protectionとして定義する理論研究。DPが一定条件下でcopy protectionを含意する点も扱われ、DP synthetic textの周辺論点として参照できる。                                                                           | [https://arxiv.org/abs/2506.19881](https://arxiv.org/abs/2506.19881)                                                                        | 公開コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
| 24 | A Unified Framework for Adversary-Aware Differential Privacy Bounds                                                                     | A Unified Framework for Adversary-Aware Differential Privacy Bounds                                                                     | 攻撃者の補助情報・能力を考慮したDP境界を統一的に扱う研究。合成データのMIA、属性推定、再構成攻撃などを理論境界と接続する背景文献として使える。                                                                                                                         | [https://arxiv.org/abs/2507.08158](https://arxiv.org/abs/2507.08158)                                                                        | 公開コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
| 25 | Automated Membership Inference Attacks: Discovering MIA Signal Computations using LLM Agents                                            | Automated Membership Inference Attacks: Discovering MIA Signal Computations using LLM Agents                                            | LLMエージェントを用いてMIAのシグナル計算を自動発見する研究。合成データやDPモデルの攻撃評価において、攻撃設計そのものが自動化・高度化する流れを示す。                                                                                                                    | [https://arxiv.org/abs/2603.19375](https://arxiv.org/abs/2603.19375)                                                                        | [https://github.com/toan-vt/automia](https://github.com/toan-vt/automia)                                                          | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
| 26 | Reconciling Differentially Private Medical Data and Model Sharing with Data Protection                                                  | Reconciling differentially private model and data sharing with data protection                                                          | DP医療データ・モデル共有と、データ保護法制・実務要件の整合を扱う発表。公開論文というより、Bogdan Kulynych氏のTPDP talkとして確認できる。                                                                                                                 | 著者ページ: [https://kulyny.ch/](https://kulyny.ch/)                                                                                          | 公開コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
| 27 | GEM+: Scalable Differentially Private Synthetic Data with Generator Networks                                                            | GEM+: Scalable State-of-the-Art Private Synthetic Data with Generator Networks                                                          | AIM型のadaptive measurementと、GEMのgenerator networkを統合し、高次元表形式DP合成データのスケーラビリティを改善する研究。AIMがメモリ・計算制約で苦しくなる100列超のデータを意識した方向。                                                                            | [https://arxiv.org/abs/2511.09672](https://arxiv.org/abs/2511.09672)                                                                        | 公開コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
| 28 | Private Adaptive Covariance Estimation via Gaussian Graphical Models                                                                    | Private Adaptive Covariance Estimation via Gaussian Graphical Models                                                                    | DPで共分散推定を行う研究。全エントリに一様にノイズを入れるのではなく、有用な共分散成分へ適応的に予算を配分し、Gaussian graphical modelとして再構成する。連続値合成データの周辺技術として関連。                                                                                      | [https://arxiv.org/abs/2605.24295](https://arxiv.org/abs/2605.24295)                                                                        | 公開コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
| 29 | On the Curse of Dimensionality in Private Sparse Covariance Estimation and PCA                                                          | On the Curse of Dimensionality in Private Sparse Covariance Estimation and PCA                                                          | 高次元DP共分散推定・PCAの限界を扱う理論研究。高次元表形式データや連続値データの合成で、なぜ次元増加がutility維持を難しくするかを説明する補助文献。                                                                                                                   | [https://tpdp.journalprivacyconfidentiality.org/2026/pdfs/kumar.pdf](https://tpdp.journalprivacyconfidentiality.org/2026/pdfs/kumar.pdf)    | 公開コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
